time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-11-29 09:55:18.606 UTC, , , , , , , , , ,1029,4943285,1789808,6720, ,46, ,28, , , , , , , , ,1,46,26, , , ,25,35,24, ,14, , , , , , , , , , , , , , ,9754478,51, ,9735585, , , , ,10005634,29665562624,18,18,18,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10005634,1669707917031,,, , , , , , , , , ,3145728,10005604, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,11,244063944, , , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,4, , , , , , , , , , 
2022-11-29 09:56:18.616 UTC, , , , , , , , , ,1029,4943285,1789808,6720, ,46, ,82, , , , , , , , ,1,46,26, , , ,25,35,24, ,21, , , , , , , , , , , , , , ,9754478,51, ,9735585, , , , ,10011169,29665456128,18,18,18,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10011169,1669707917031,,, , , , , , , , , ,3145728,10011139,5,5,5,5, , , , , , ,2, ,3,1, , ,1, , , , , , , , , ,5535,2, , , , , , ,1,24,226366192, , , , , , , ,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,4, , ,50,12,6, , , , , , , , , 
2022-11-29 09:57:18.620 UTC, , , , , , , , , ,1029,4943285,1789808,6720, ,46, ,28, , , , , , , , ,1,46,26, , , ,25,35,24, ,14, , , , , , , , , , , , , , ,9754478,51, ,9735585, , , , ,10011169,29665390592,18,18,18,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10011169,1669707917031,,, , , , , , , , , ,3145728,10011139, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,294523632, , , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,4, , , , , , , , , , 
2022-11-29 09:58:18.647 UTC, , , , , , , , , ,1029,4943285,1789808,6720, ,46, ,28, , , , , , , , ,1,46,26, , , ,25,35,24, ,14, , , , , , , , , , , , , , ,9754478,51, ,9735585, , , , ,10011169,29665316864,18,18,18,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10011169,1669707917031,,, , , , , , , , , ,3145728,10011139, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,36,277072120, , , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,4, , , , , , , , , , 
2022-11-29 09:59:18.652 UTC, , , , , , , , , ,1029,4943285,1789808,6720, ,46, ,28, , , , , , , , ,1,46,26, , , ,25,35,24, ,14, , , , , , , , , , , , , , ,9754478,51, ,9735585, , , , ,10011169,29665271808,18,18,18,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10011169,1669707917031,,, , , , , , , , , ,3145728,10011139, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,32,258167896, , , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,4, , , , , , , , , , 
2022-11-29 10:00:18.656 UTC, , , , , , , , , ,1029,4943285,1789808,6720, ,46, ,28, , , , , , , , ,1,46,26, , , ,25,35,24, ,14, , , , , , , , , , , , , , ,9754478,51, ,9735585, , , , ,10011169,29665198080,18,18,18,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10011169,1669707917031,,, , , , , , , , , ,3145728,10011139, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,42,238152040, , , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,4, , , , , , , , , , 
2022-11-29 10:01:18.660 UTC, , , , , , , , , ,1029,4943285,1789808,6720, ,46, ,82, , , , , , , , ,1,46,26, , , ,25,35,24, ,21, , , , , , , , , , , , , , ,9754478,51, ,9735585, , , , ,10016704,29665124352,18,18,18,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10016704,1669707917031,,, , , , , , , , , ,3145728,10016674,26,26,26,26, , , , , , ,2, ,3,1, , ,1, , , , , , , , , ,5535,2, , , , , , ,1,28,222070616, , , , , , , ,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,4, , ,50,12,6, , , , , , , , , 
2022-11-29 10:02:18.665 UTC, , , , , , , , , ,1029,4943285,1789808,6720, ,46, ,28, , , , , , , , ,1,46,26, , , ,25,35,24, ,14, , , , , , , , , , , , , , ,9754478,51, ,9735585, , , , ,10016704,29665042432,18,18,18,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10016704,1669707917031,,, , , , , , , , , ,3145728,10016674, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,289179480, , , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,4, , , , , , , , , , 
2022-11-29 10:03:18.669 UTC, , , , , , , , , ,1029,4943285,1789808,6720, ,46, ,28, , , , , , , , ,1,46,26, , , ,25,35,24, ,14, , , , , , , , , , , , , , ,9754478,51, ,9735585, , , , ,10016704,29664968704,18,18,18,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10016704,1669707917031,,, , , , , , , , , ,3145728,10016674, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,10,270639336, , , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,4, , , , , , , , , , 
2022-11-29 10:04:18.671 UTC, , , , , , , , , ,1029,4943285,1789808,6720, ,46, ,28, , , , , , , , ,1,46,26, , , ,25,35,24, ,14, , , , , , , , , , , , , , ,9754478,51, ,9735585, , , , ,10016704,29664899072,18,18,18,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10016704,1669707917031,,, , , , , , , , , ,3145728,10016674, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,46,250715432, , , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,4, , , , , , , , , , 
