time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-12-09 08:49:07.586 UTC, , , , , , , , , ,125,3196197,50344, , ,4,2,105,4,0.04,1, , , , , , ,4,4, ,2,2,4,2,5, ,296,143, , , , , , , , , , , , , ,22072239,103, ,22052709, , , , ,22072295,28966195200,9,9,9,9, , , , , ,11,77178, , , , , , , , , , , , , , , , , , , , , , , , , ,22072295,1670575746507,,, , , , , , , , , ,3145728,22072239, , , , , , ,155, , ,2, , ,3, , ,155, ,8414901,23, , , ,1, ,54616337,165, , , , , , , , ,98,1526,166260120,2, , , , , , ,76, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-12-09 08:50:07.594 UTC, , , ,27,3,3, , , ,589,4945317,1792280,6720, ,36,19,1762,32,0.02,3, , , , , ,4,36,21, , ,15,21,24,21, ,692,390, , , , , , , , , , , , , ,22072239,103, ,22052709, , , , ,22091092,28966084608,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22091092,1670575746507,,, , , , , , , , , ,3145728,22091061,2,2,2,2, , ,454, , ,3,7, ,3,1, ,454,1,613523,84,3494,1, ,7, ,1247965,380,15303,6, , , , , , ,28,494,291828872,1, , , , , , ,1987, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, ,28, ,463,1258,275,20, , , , , , , , , 
2022-12-09 08:51:07.599 UTC, , ,9,48,5,9, , , ,589,4965205,1812168,6720, ,43,7,739,7,0.01,5, , , , , ,9,43,22, , ,2,26,31,21, ,236,16, , , , , , , , , , , , , ,22072239,103, ,22052709, , , , ,22118547,28960497664,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22118547,1670575746507,,, , , , , , , , , ,3145728,22118516,28,28,18,28, , ,26, , , ,18, ,3,2, ,26,1,9463,5,1953,1, ,1, ,44081,22,25502,17, , , , , , ,11,315,244721544,2, , , , , , ,926,9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,42, ,27, ,65,497,106,63, , , , , , , , , 
2022-12-09 08:52:07.603 UTC, , ,1,4, ,1, , , ,589,4967661,1814624,6720, ,43, ,145, , , , , , , , ,8,43,22, , ,1,25,31,20, ,53,3, , , , , , , , , , , , , ,22072239,103, ,22052709, , , , ,22122821,28957757440,8,8,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22122821,1670575746507,,, , , , , , , , , ,3145728,22122790,5,5,5,5, , ,4, , , ,2, ,3,1, ,4,1,4823,3, , , , , ,552,1,4274,2, , , , , , ,3,46,237381496,2, , , , , , ,171, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, ,3, ,43,95,20,5, , , , , , , , , 
2022-12-09 08:53:07.627 UTC, , ,1,10,1,3, , , ,589,4976557,1823520,6720, ,43, ,736, , ,1, , , , , ,7,43,22, , ,1,25,31,20, ,319,11, , , , , , , , , , , , , ,22072239,103, ,22052709, , , , ,22132246,28957605888,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22132246,1670575746507,,, , , , , , , , , ,3145728,22132215,12,12,7,12, , ,12, , , ,4, ,3,2, ,12,1,3011,7, , , , , ,5540,5,9425,4, , , , , , ,5,116,229181824,1, , , , , , ,747, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, ,14, ,58,633,52,14, , , , , , , , , 
2022-12-09 08:54:07.632 UTC, , , , , , , , , ,589,4976557,1823520,6720, ,43, ,133, , , , , , , , ,7,43,22, , , ,25,31,20, ,45, , , , , , , , , , , , , , ,22072239,103, ,22052709, , , , ,22141817,28957229056,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22141817,1670575746507,,, , , , , , , , , ,3145728,22141786,5,5,3,5, , , , , , ,4, ,3,2, , ,1, , , , , , , , , ,9571,4, , , , , , ,3,69,276452736,2, , , , , , ,155, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, ,7, ,43,81,18,4, , , , , , , , , 
2022-12-09 08:55:07.638 UTC, , , , , , , , , ,589,4976557,1823520,6720, ,43, ,142, , , , , , , , ,7,43,22, , , ,25,31,20, ,42, , , , , , , , , , , , , , ,22072239,103, ,22052709, , , , ,22150468,28956778496,8,8,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22150468,1670575746507,,, , , , , , , , , ,3145728,22150437,7,7,6,7, , , , , , ,3, ,3,2, , ,1, , , , , , , , , ,8651,3, , , , , , ,2,54,299488288,2, , , , , , ,164, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, ,7, ,42,84,21,7, , , , , , , , , 
2022-12-09 08:56:20.479 UTC, , , , , , , , , ,589,4976557,1823520,6720, ,43, ,85, , , , , , , , ,7,43,22, , , ,25,31,20, ,35, , , , , , , , , , , , , , ,22072239,103, ,22052709, , , , ,22153560,28956622848,8,8,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22153560,1670575746507,,, , , , , , , , , ,3145728,22153529,4,4,4,4, , , , , , ,1, ,3,1, , ,1, , , , , , , , , ,3092,1, , , , , , ,2,65,267454152,1, , , , , , ,111, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,3, ,42,56,12,1, , , , , , , , , 
2022-12-09 08:57:20.498 UTC, , , , , , , , , ,589,4976557,1823520,6720, ,43, ,162, , , , , , , , ,7,43,22, , , ,25,31,20, ,71, , , , , , , , , , , , , , ,22072239,103, ,22052709, , , , ,22156652,28956323840,8,8,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22156652,1670575746507,,, , , , , , , , , ,3145728,22156621,9,9,9,9, , , , , , ,1, ,3,1, , ,1, , , , , , , , , ,3092,1, , , , , , ,4,76,297019432,3, , , , , , ,215, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,3, ,84,119,22,1, , , , , , , , , 
2022-12-09 08:58:20.508 UTC, , ,1,22,6,4, , , ,589,5002709,1849672,6720, ,49,4,777,6,0.01,6, , , , , ,7,49,28, , ,4,25,37,25, ,241, , , , , , , , , , , , , , ,22072239,103, ,22052709, , , , ,22178335,28956028928,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22178335,1670575746507,,, , , , , , , , , ,3145728,22181513,14,14,9,14, , ,16, , , ,9, ,3,2, ,16,1,32768,8,3964,1, , , ,32768,8,20928,8, , , , , , ,4,83,279633272,2, , , , , , ,780, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17, ,50, ,75,510,114,50, , , , , , , , , 
