"_id";"timestamp";"eventName";"transactionId";"userId";"trackingIds";"runAs";"objectId";"operation";"before";"after";"changedFields";"revision";"component";"realm"
"cc040609-05fe-45be-8f8c-85faf757df8b-548";"2022-12-14T08:49:41.147Z";"AM-CONFIG-CHANGE";"cc040609-05fe-45be-8f8c-85faf757df8b-535";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"cc040609-05fe-45be-8f8c-85faf757df8b-551";"2022-12-14T08:49:41.179Z";"AM-CONFIG-CHANGE";"cc040609-05fe-45be-8f8c-85faf757df8b-535";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"cc040609-05fe-45be-8f8c-85faf757df8b-607";"2022-12-14T08:49:43.661Z";"AM-CONFIG-CHANGE";"cc040609-05fe-45be-8f8c-85faf757df8b-604";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;"/"
"0df6652b-e655-4933-8cca-3b768b288c58-352";"2022-12-14T09:46:05.760Z";"AM-CONFIG-CHANGE";"0df6652b-e655-4933-8cca-3b768b288c58-350";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=GlobalConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;
"0df6652b-e655-4933-8cca-3b768b288c58-354";"2022-12-14T09:46:05.781Z";"AM-CONFIG-CHANGE";"0df6652b-e655-4933-8cca-3b768b288c58-350";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"0df6652b-e655-4933-8cca-3b768b288c58-356";"2022-12-14T09:46:05.791Z";"AM-CONFIG-CHANGE";"0df6652b-e655-4933-8cca-3b768b288c58-350";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=PluginConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"0df6652b-e655-4933-8cca-3b768b288c58-360";"2022-12-14T09:46:05.800Z";"AM-CONFIG-CHANGE";"0df6652b-e655-4933-8cca-3b768b288c58-350";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=Instances,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"0df6652b-e655-4933-8cca-3b768b288c58-363";"2022-12-14T09:46:05.835Z";"AM-CONFIG-CHANGE";"0df6652b-e655-4933-8cca-3b768b288c58-350";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"0df6652b-e655-4933-8cca-3b768b288c58-366";"2022-12-14T09:46:05.873Z";"AM-CONFIG-CHANGE";"0df6652b-e655-4933-8cca-3b768b288c58-350";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"0df6652b-e655-4933-8cca-3b768b288c58-406";"2022-12-14T09:46:07.714Z";"AM-CONFIG-CHANGE";"0df6652b-e655-4933-8cca-3b768b288c58-403";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;"/"
"44595980-77b1-4fb8-9853-256b2a95c4b9-471";"2022-12-14T10:02:22.074Z";"AM-CONFIG-CHANGE";"44595980-77b1-4fb8-9853-256b2a95c4b9-469";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=GlobalConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;
"44595980-77b1-4fb8-9853-256b2a95c4b9-473";"2022-12-14T10:02:22.087Z";"AM-CONFIG-CHANGE";"44595980-77b1-4fb8-9853-256b2a95c4b9-469";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"44595980-77b1-4fb8-9853-256b2a95c4b9-475";"2022-12-14T10:02:22.094Z";"AM-CONFIG-CHANGE";"44595980-77b1-4fb8-9853-256b2a95c4b9-469";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=PluginConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"44595980-77b1-4fb8-9853-256b2a95c4b9-479";"2022-12-14T10:02:22.102Z";"AM-CONFIG-CHANGE";"44595980-77b1-4fb8-9853-256b2a95c4b9-469";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=Instances,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"44595980-77b1-4fb8-9853-256b2a95c4b9-481";"2022-12-14T10:02:22.127Z";"AM-CONFIG-CHANGE";"44595980-77b1-4fb8-9853-256b2a95c4b9-469";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"44595980-77b1-4fb8-9853-256b2a95c4b9-485";"2022-12-14T10:02:22.140Z";"AM-CONFIG-CHANGE";"44595980-77b1-4fb8-9853-256b2a95c4b9-469";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"44595980-77b1-4fb8-9853-256b2a95c4b9-525";"2022-12-14T10:02:23.951Z";"AM-CONFIG-CHANGE";"44595980-77b1-4fb8-9853-256b2a95c4b9-522";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;"/"
"4ef610f3-1cd6-4ca8-a608-e618c7b0f5e1-461";"2022-12-14T10:36:18.981Z";"AM-CONFIG-CHANGE";"4ef610f3-1cd6-4ca8-a608-e618c7b0f5e1-449";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=GlobalConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;
"4ef610f3-1cd6-4ca8-a608-e618c7b0f5e1-463";"2022-12-14T10:36:19.015Z";"AM-CONFIG-CHANGE";"4ef610f3-1cd6-4ca8-a608-e618c7b0f5e1-449";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
